index,depth_file,rgb_file,depth_ts,rgb_ts,rgb_out,rgb_undist_out,depth_out,nonzero_depth_pixels
18,d-1316653598.488586-2397302113.pgm,r-1316653598.504119-2398656159.ppm,1316653598.488585949,1316653598.504118919,RGB\18.png,RGB_undistorted\18.png,Depth\18_depth.png,307200
19,d-1316653599.665814-2467377538.pgm,r-1316653599.654003-2466665934.ppm,1316653599.665813923,1316653599.654002905,RGB\19.png,RGB_undistorted\19.png,Depth\19_depth.png,307200
20,d-1316653600.657468-2527442188.pgm,r-1316653600.643961-2526674559.ppm,1316653600.657468081,1316653600.643960953,RGB\20.png,RGB_undistorted\20.png,Depth\20_depth.png,307200
21,d-1316653601.665325-2587506838.pgm,r-1316653601.651881-2586683184.ppm,1316653601.665324926,1316653601.651880980,RGB\21.png,RGB_undistorted\21.png,Depth\21_depth.png,307200
22,d-1316653602.657253-2647571488.pgm,r-1316653602.643824-2646691809.ppm,1316653602.657253027,1316653602.643824100,RGB\22.png,RGB_undistorted\22.png,Depth\22_depth.png,307200
23,d-1316653603.673876-2707636138.pgm,r-1316653603.668279-2706700434.ppm,1316653603.673876047,1316653603.668278933,RGB\23.png,RGB_undistorted\23.png,Depth\23_depth.png,307200
24,d-1316653604.715271-2769702943.pgm,r-1316653604.710036-2770709634.ppm,1316653604.715270996,1316653604.710036039,RGB\24.png,RGB_undistorted\24.png,Depth\24_depth.png,307200
25,d-1316653605.698059-2829767593.pgm,r-1316653605.684544-2828717971.ppm,1316653605.698059082,1316653605.684544086,RGB\25.png,RGB_undistorted\25.png,Depth\25_depth.png,307200
26,d-1316653606.765068-2893836553.pgm,r-1316653606.772520-2894727459.ppm,1316653606.765068054,1316653606.772520065,RGB\26.png,RGB_undistorted\26.png,Depth\26_depth.png,307200
27,d-1316653607.773551-2953901203.pgm,r-1316653607.783426-2954736084.ppm,1316653607.773550987,1316653607.783426046,RGB\27.png,RGB_undistorted\27.png,Depth\27_depth.png,307200
28,d-1316653608.833119-3017970163.pgm,r-1316653608.822624-3016744996.ppm,1316653608.833118916,1316653608.822623968,RGB\28.png,RGB_undistorted\28.png,Depth\28_depth.png,307200
29,d-1316653610.045312-3090047743.pgm,r-1316653610.055113-3090755634.ppm,1316653610.045311928,1316653610.055113077,RGB\29.png,RGB_undistorted\29.png,Depth\29_depth.png,307200
30,d-1316653611.036675-3150112393.pgm,r-1316653611.043825-3150764259.ppm,1316653611.036674976,1316653611.043824911,RGB\30.png,RGB_undistorted\30.png,Depth\30_depth.png,307200
31,d-1316653612.045198-3210177043.pgm,r-1316653612.054781-3210772884.ppm,1316653612.045197964,1316653612.054780960,RGB\31.png,RGB_undistorted\31.png,Depth\31_depth.png,307200
32,d-1316653613.036546-3270241693.pgm,r-1316653613.043850-3270781509.ppm,1316653613.036545992,1316653613.043849945,RGB\32.png,RGB_undistorted\32.png,Depth\32_depth.png,307200
33,d-1316653614.045065-3330306343.pgm,r-1316653614.054736-3330790134.ppm,1316653614.045064926,1316653614.054735899,RGB\33.png,RGB_undistorted\33.png,Depth\33_depth.png,307200
34,d-1316653615.053072-3390370993.pgm,r-1316653615.040901-3390798759.ppm,1316653615.053071976,1316653615.040900946,RGB\34.png,RGB_undistorted\34.png,Depth\34_depth.png,307200
35,d-1316653616.075967-3450435643.pgm,r-1316653616.085272-3450807384.ppm,1316653616.075967073,1316653616.085272074,RGB\35.png,RGB_undistorted\35.png,Depth\35_depth.png,307200
36,d-1316653617.178263-3518508913.pgm,r-1316653617.185345-3518817159.ppm,1316653617.178262949,1316653617.185344934,RGB\36.png,RGB_undistorted\36.png,Depth\36_depth.png,307200
37,d-1316653618.248384-3578573563.pgm,r-1316653618.242742-3578825784.ppm,1316653618.248383999,1316653618.242742062,RGB\37.png,RGB_undistorted\37.png,Depth\37_depth.png,307200
38,d-1316653619.280101-3644644678.pgm,r-1316653619.287173-3644835271.ppm,1316653619.280101061,1316653619.287173033,RGB\38.png,RGB_undistorted\38.png,Depth\38_depth.png,307200
39,d-1316653620.288127-3704709328.pgm,r-1316653620.278459-3704843896.ppm,1316653620.288126945,1316653620.278459072,RGB\39.png,RGB_undistorted\39.png,Depth\39_depth.png,307200
40,d-1316653621.280628-3764773978.pgm,r-1316653621.290062-3764852521.ppm,1316653621.280627966,1316653621.290061951,RGB\40.png,RGB_undistorted\40.png,Depth\40_depth.png,307200
41,d-1316653622.814485-3856873108.pgm,r-1316653622.824267-3856865746.ppm,1316653622.814485073,1316653622.824266911,RGB\41.png,RGB_undistorted\41.png,Depth\41_depth.png,307200
42,d-1316653624.007457-3916937758.pgm,r-1316653624.002575-3916874371.ppm,1316653624.007457018,1316653624.002574921,RGB\42.png,RGB_undistorted\42.png,Depth\42_depth.png,307200
43,d-1316653625.024665-3989015338.pgm,r-1316653625.014408-3988884721.ppm,1316653625.024665117,1316653625.014408112,RGB\43.png,RGB_undistorted\43.png,Depth\43_depth.png,307200
44,d-1316653626.483626-4077110158.pgm,r-1316653626.490819-4076897371.ppm,1316653626.483625889,1316653626.490818977,RGB\44.png,RGB_undistorted\44.png,Depth\44_depth.png,307200
45,d-1316653627.862622-4159198513.pgm,r-1316653627.850231-4158909159.ppm,1316653627.862622023,1316653627.850230932,RGB\45.png,RGB_undistorted\45.png,Depth\45_depth.png,307200
46,d-1316653629.201296-4239284713.pgm,r-1316653629.215865-4240920946.ppm,1316653629.201296091,1316653629.215864897,RGB\46.png,RGB_undistorted\46.png,Depth\46_depth.png,307200
47,d-1316653630.458343-20399307.pgm,r-1316653630.442098-19964288.ppm,1316653630.458343029,1316653630.442097902,RGB\47.png,RGB_undistorted\47.png,Depth\47_depth.png,307200
